Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,"Aberdeen",499692,218798,38794,17095,4,57.3005,-2.30742
AL,"St Albans",249911,99209,11324,7762,0,51.7755,-0.283817
B,"Birmingham",1904293,750842,61202,41397,0,52.4651,-1.88864
BA,"Bath",434539,183530,19944,15136,0,51.2292,-2.41758
BB,"Blackburn",488564,202015,18833,13200,0,53.7872,-2.33414
BD,"Bradford",578374,223952,23359,16979,12,53.8288,-1.8289
BF,"British Forces",,,48,48,0,36.3495,-4.67733
BH,"Bournemouth",552110,242907,22188,15163,0,50.7505,-1.89085
BL,"Bolton",379929,159979,13912,10285,0,53.5868,-2.40791
BN,"Brighton",802838,356367,34887,21950,1,50.8289,-0.119574
BR,"Bromley",299157,124954,10558,6803,0,51.3944,0.0424453
BS,"Bristol",940076,398197,45317,26740,0,51.4489,-2.62234
BT,"Northern Ireland",1787720,693967,61794,49227,816,54.6038,-6.38074
CA,"Carlisle",318114,140587,16214,12642,0,54.7319,-3.10818
CB,"Cambridge",421151,167640,19101,10542,0,52.2067,0.189041
CF,"Cardiff",1005305,419896,42309,23163,0,51.5343,-3.29372
CH,"Chester",659880,285880,24203,18790,0,53.2904,-3.02014
CM,"Chelmsford",653626,270044,27233,17864,0,51.7583,0.403668
CO,"Colchester",411411,176939,17987,13249,0,51.9029,0.924469
CR,"Croydon",405236,158695,14632,7906,0,51.356,-0.103328
CT,"Canterbury",482627,206290,19715,14846,0,51.2555,1.23153
CV,"Coventry",821033,341504,28094,20320,0,52.3671,-1.50124
CW,"Crewe",309487,130803,13974,9495,0,53.155,-2.44982
DA,"Dartford",430139,173329,12829,9026,0,51.4422,0.220748
DD,"Dundee",280568,128312,11305,8967,0,56.5368,-2.86467
DE,"Derby",730125,306586,30008,17235,0,52.9331,-1.49151
DG,"Dumfries and Galloway",151139,67885,7727,6842,2,55.0226,-3.88022
DH,"Durham",309030,132814,11453,8971,0,54.825,-1.61383
DL,"Darlington",360734,156814,16683,13282,0,54.533,-1.65943
DN,"Doncaster",756058,320303,27780,21700,0,53.5411,-0.720675
DT,"Dorchester",212796,93053,9789,7770,0,50.7546,-2.48282
DY,"Dudley",410847,171692,14419,10962,0,52.4536,-2.17685
E,"East London",989043,370613,28280,16259,0,51.5434,-0.0158209
EC,"Central London",33956,17102,12546,3698,0,51.5188,-0.0967591
EH,"Edinburgh",868113,389353,32363,24416,7,55.9265,-3.22776
EN,"Enfield",344780,137907,13025,8510,61,51.6816,-0.0864336
EX,"Exeter",547401,235895,28566,22230,0,50.8269,-3.65615
FK,"Falkirk and Stirling",276371,119790,9602,7723,0,56.0772,-3.85942
FY,"Blackpool",276593,125986,10043,7274,0,53.825,-3.02269
G,"Glasgow",1183614,540601,46727,31804,0,55.8688,-4.2682
GL,"Gloucester",605458,257602,28597,21027,0,51.8367,-2.17725
GU,"Guildford",726120,288537,35570,22119,0,51.2314,-0.717498
HA,"Harrow",480678,169132,17440,10122,0,51.5853,-0.336044
HD,"Huddersfield",262843,111694,10702,7092,0,53.6301,-1.78264
HG,"Harrogate",138214,59455,6317,4409,0,54.0371,-1.54608
HP,"Hemel Hempstead",488592,195951,21705,13915,0,51.7244,-0.691305
HR,"Hereford",176308,75400,7899,6387,0,52.0658,-2.71994
HS,"Outer Hebrides",27663,12565,1093,962,0,57.979,-6.69363
HU,"Hull",443219,191836,15253,10951,0,53.7682,-0.353721
HX,"Halifax",160137,68980,7392,5646,0,53.7203,-1.89277
IG,"Ilford",335693,119754,10011,5979,0,51.584,0.0718679
IP,"Ipswich",595883,252895,26871,21049,0,52.1951,1.08308
IV,"Inverness",228056,98990,10739,7356,2,57.5864,-4.11766
KA,"Kilmarnock",370877,166467,14127,11605,0,55.5639,-4.60641
KT,"Kingston upon Thames",529633,214274,22311,14168,0,51.3599,-0.34321
KW,"Kirkwall",53132,24290,2103,1835,0,58.6539,-3.28286
KY,"Kirkcaldy",363956,160089,13127,10101,1,56.1624,-3.21272
L,"Liverpool",856675,370680,43224,20440,0,53.4159,-2.9629
LA,"Lancaster",328926,143213,14678,11800,0,54.1711,-2.90449
LD,"Llandrindod Wells",50225,22291,2649,2203,0,52.1288,-3.34108
LE,"Leicester",985352,391460,34512,22458,0,52.6442,-1.14859
LL,"Llandudno",537252,232655,24296,20121,0,53.1333,-3.71601
LN,"Lincoln",293141,126372,11935,9211,0,53.2566,-0.357016
LS,"Leeds",774677,330676,31805,21561,0,53.8227,-1.55299
LU,"Luton",336095,129149,10358,6225,0,51.8965,-0.509631
M,"Manchester",1167414,492884,58623,31686,0,53.4787,-2.27171
ME,"Rochester",606891,245786,22129,16365,0,51.3338,0.584473
MK,"Milton Keynes",508035,202926,22759,15446,0,52.0622,-0.66596
ML,"Motherwell",382997,168005,11712,9653,0,55.7764,-3.944
N,"North London",847197,344938,29296,17429,115,51.5853,-0.114104
NE,"Newcastle upon Tyne",1162976,510229,45070,33157,1,55.0363,-1.64209
NG,"Nottingham",1163617,493228,37189,28773,0,53.0055,-1.07234
NN,"Northampton",653055,272356,24901,16265,0,52.2888,-0.841129
NP,"Newport",488569,206539,27982,13698,0,51.6729,-3.016
NR,"Norwich",722618,315784,28198,23457,0,52.6461,1.3403
NW,"North West London",553732,222208,25552,13895,0,51.5549,-0.19689
OL,"Oldham",462590,188194,17647,13044,0,53.5817,-2.12594
OX,"Oxford",613492,242551,34864,19789,0,51.7956,-1.29063
PA,"Paisley",321350,148778,12921,9357,0,56.07,-4.91138
PE,"Peterborough",890470,373108,38938,26561,1,52.6268,-0.0449774
PH,"Perth",165118,73021,7384,6076,0,56.5623,-3.73375
PL,"Plymouth",543016,232152,22439,17524,0,50.4278,-4.3261
PO,"Portsmouth",822540,352453,32790,24016,1,50.8021,-1.03498
PR,"Preston",520366,219388,19936,13061,0,53.7225,-2.75198
RG,"Reading",778419,314408,45599,23146,0,51.4046,-1.02761
RH,"Redhill",531923,217143,24131,16011,0,51.1101,-0.20828
RM,"Romford",517305,205322,15144,9852,0,51.5469,0.217283
S,"Sheffield",1358186,578058,49099,33439,2,53.394,-1.41219
